senator,portrait,party,born,occupation,previous_elective_offices,assumed_office,term_up,residence,state,age,Laywer,pop_2019
Richard Shelby,,Republican,"May 6, 1934",Lawyer,"U.S. House
Alabama Senate","January 3, 1987",2022,Tuscaloosa[3],Alabama,87,1,4903185
Tommy Tuberville,,Republican,"September 18, 1954","College football coach
Partner, investment management firm",None,"January 3, 2021",2026,Auburn,Alabama,66,0,4903185
Lisa Murkowski,,Republican,"May 22, 1957",Lawyer,Alaska House of Representatives,"December 20, 2002[d]",2022,Girdwood[4],Alaska,64,1,731545
Dan Sullivan,,Republican,"November 13, 1964","U.S. Marine Corps officer
Lawyer
Assistant Secretary of State for Economic and Business Affairs",Alaska Attorney General,"January 3, 2015",2026,Anchorage[5],Alaska,56,1,731545
Kyrsten Sinema,,Democratic,"July 12, 1976","Social worker
Political activist
Lawyer
College professor","U.S. House
Arizona Senate
Arizona House of Representatives","January 3, 2019",2024,Phoenix[6],Arizona,44,1,7278717
Mark Kelly,,Democratic,"February 21, 1964","U.S. Navy officer
NASA Astronaut
Founder, Americans for Responsible Solutions non-profit organization",None,"December 2, 2020[e]",2022,Tucson,Arizona,57,0,7278717
John Boozman,,Republican,"December 10, 1950",Optometrist,"U.S. House
Rogers Public Schools Board","January 3, 2011",2022,Rogers[9],Arkansas,70,0,3017804
Tom Cotton,,Republican,"May 13, 1977","Lawyer
United States Army officer",U.S. House,"January 3, 2015",2026,Dardanelle[9],Arkansas,44,1,3017804
Dianne Feinstein,,Democratic,"June 22, 1933","Non-profit organization fellow
Member, California Women's Parole Board","Mayor of San Francisco
San Francisco Board of Supervisors","November 10, 1992[f]",2024,San Francisco[10],California,87,0,39512223
Alex Padilla,,Democratic,"March 22, 1973",Engineer,"Secretary of State of California
California Senate
Los Angeles City Council President","January 20, 2021[g]",2022,Los Angeles[11],California,48,0,39512223
Michael Bennet,,Democratic,"November 28, 1964","Lawyer
Investment company executive
Denver Public Schools Superintendent
Chief of staff to the Mayor of Denver",None,"January 21, 2009[h]",2022,Denver[12],Colorado,56,1,5758736
John Hickenlooper,,Democratic,"February 7, 1952","Geologist
Businessman","Governor of Colorado
Mayor of Denver","January 3, 2021",2026,Denver[12],Colorado,69,0,5758736
Richard Blumenthal,,Democratic,"February 13, 1946","Marine Corps Reserve Sergeant
Senate staffer
Lawyer
U.S. Attorney","Connecticut Attorney General
Connecticut Senate
Connecticut House of Representatives","January 3, 2011",2022,Greenwich[13],Connecticut,75,1,3565287
Chris Murphy,,Democratic,"August 3, 1973","Lawyer
Political campaign manager","U.S. House
Connecticut Senate
Connecticut House of Representatives","January 3, 2013",2024,Cheshire[13],Connecticut,47,1,3565287
Tom Carper,,Democratic,"January 23, 1947","U.S. Navy officer
Staff, Delaware Office of Economic Development","Governor of Delaware
U.S. House
Delaware Treasurer","January 3, 2001",2024,Wilmington[14],Delaware,74,0,973764
Chris Coons,,Democratic,"September 9, 1963","Nonprofit organization executive
Lawyer","New Castle County, Delaware County Executive
Member, New Castle County Council","November 15, 2010[i]",2026,Wilmington[14],Delaware,57,1,973764
Marco Rubio,,Republican,"May 28, 1971",Lawyer,"Florida House Speaker
West Miami City Commission","January 3, 2011",2022,Miami,Florida,49,1,21477737
